trial,model,decision,score,altscore,rt,distance,countA,countB,maxspeed_front,maxspeed_back
AABBABBBBAABAA,likelihood_ratio,N,,,,6,7,7,0.5714285714285714,0.5714285714285714
AABBABBBBAABAA,naive_probability,A,0.75,0,1,6,7,7,0.5714285714285714,0.5714285714285714
AABBABBBBAABAB,information,B,0.67988480751028646,0.40793088450617188,8,5,6,8,0.5714285714285714,0.5714285714285714
AABBABBBBAABAB,relcount,A,0.6666666666666666,0.33333333333333337,3,5,6,8,0.5714285714285714,0.5714285714285714
AABBABBBBAABAB,abscount,N,,,,5,6,8,0.5714285714285714,0.5714285714285714
AABBABBBBAABAB,likelihood_ratio,N,,,,5,6,8,0.5714285714285714,0.5714285714285714
AABBABBBBAABAB,naive_probability,A,0.75,0,1,5,6,8,0.5714285714285714,0.5714285714285714
AABABABABABBBB,information,A,0.67988480751028646,0.40793088450617188,8,3,6,8,0.5714285714285714,0.7142857142857143
AABABABABABBBB,relcount,A,0.6666666666666666,0.33333333333333337,3,3,6,8,0.5714285714285714,0.7142857142857143
AABABABABABBBB,abscount,N,,,,3,6,8,0.5714285714285714,0.7142857142857143
AABABABABABBBB,likelihood_ratio,A,1.380211241711606,0,7,3,6,8,0.5714285714285714,0.7142857142857143
AABABABABABBBB,naive_probability,A,0.75,0,1,3,6,8,0.5714285714285714,0.7142857142857143
AABABABABABBBA,information,A,0.67988480751028646,0.40793088450617188,8,2,7,7,0.5714285714285714,0.5714285714285714
AABABABABABBBA,relcount,A,0.6666666666666666,0.33333333333333337,3,2,7,7,0.5714285714285714,0.5714285714285714
AABABABABABBBA,abscount,N,,,,2,7,7,0.5714285714285714,0.5714285714285714
AABABABABABBBA,likelihood_ratio,A,1.380211241711606,0,7,2,7,7,0.5714285714285714,0.5714285714285714
AABABABABABBBA,naive_probability,A,0.75,0,1,2,7,7,0.5714285714285714,0.5714285714285714
ABABBAAAAAAAAA,information,A,0.67988480751028646,0.40793088450617188,8,6,11,3,0.5714285714285714,1.0
ABABBAAAAAAAAA,relcount,A,0.6666666666666666,0.33333333333333337,3,6,11,3,0.5714285714285714,1.0
ABABBAAAAAAAAA,abscount,A,0.7142857142857143,0.21428571428571427,13,6,11,3,0.5714285714285714,1.0
ABABBAAAAAAAAA,likelihood_ratio,A,1.566701736063813,0,11,6,11,3,0.5714285714285714,1.0
ABABBAAAAAAAAA,naive_probability,B,0.75,0,4,6,11,3,0.5714285714285714,1.0
AAAABBBBBBABAA,information,B,0.67988480751028646,0.54390784600822917,9,6,7,7,0.5714285714285714,0.5714285714285714
AAAABBBBBBABAA,relcount,A,0.8,0.19999999999999996,5,6,7,7,0.5714285714285714,0.5714285714285714
AAAABBBBBBABAA,abscount,N,,,,6,7,7,0.5714285714285714,0.5714285714285714
AAAABBBBBBABAA,likelihood_ratio,N,,,,6,7,7,0.5714285714285714,0.5714285714285714
